"Time","Temperature -TS00 Monitor: Temperature -TS00 Monitor (K)","Temperature -TS01 Monitor: Temperature -TS01 Monitor (K)","Temperature -TS02 Monitor: Temperature -TS02 Monitor (K)","Temperature -TS03 Monitor: Temperature -TS03 Monitor (K)","Temperature -TS04 Monitor: Temperature -TS04 Monitor (K)","Temperature -TS05 Monitor: Temperature -TS05 Monitor (K)"
0.00456670000000001,380.3944281950083,597.0789349974682,623.8083306700479,674.4799546216543,833.2744011678324,2249.003581817569
0.004567750000000004,380.2383747285866,596.9986063967166,623.8053937513926,674.5056057099365,833.669875413518,2249.0723998328062
0.004568799999999998,380.08067244033026,596.9087729978138,623.8035144289814,674.5514123111915,834.0442763092819,2249.146152796938
0.004569849999999992,379.92014255361244,596.826481513775,623.8023627205716,674.6097681895067,834.3835301336745,2249.225381078224
0.004570899999999985,379.7566955927187,596.7946326916252,623.8055464682053,674.6711916438725,834.7586078819269,2249.3091468847756
0.004571949999999979,379.59049709868447,596.7843508417634,623.8158058814171,674.7220880050955,835.1101982045067,2249.394465250056
0.004572999999999973,379.42122911747856,596.779425327608,623.8338694848959,674.7385325765454,835.4390640456373,2249.4797122594155
0.004574049999999967,379.24900419983953,596.7749760681986,623.8485214820984,674.7054944540317,835.7781109722455,2249.563488814298
0.0045750999999999604,379.0747005221584,596.7636758596439,623.8429167872722,674.6245523092805,836.1453853243078,2249.644860999034
0.004576149999999954,378.90113351037473,596.694675618821,623.7887001474983,674.4941224167344,836.4806434353535,2249.7234777582753
0.004577249999999948,378.72295929773634,596.6249975764928,623.7195804156127,674.3746821989896,836.8992510827928,2249.8027105446126
0.0045782999999999414,378.55709315954516,596.5631437049931,623.6472179566017,674.2841992526439,837.3454905708945,2249.8751458342226
0.004579349999999935,378.39447218645114,596.5037427383696,623.5849454698332,674.2120630958082,837.8191087728936,2249.9440355582815
0.004580399999999929,378.2324230869224,596.4532240986041,623.5452826854869,674.1300111451981,838.3417779602694,2250.0089516832572
0.004581449999999923,378.06679594985695,596.4137239147565,623.5227375442539,674.0049806183455,838.8988239372395,2250.069682395639
0.0045824999999999165,377.89544559036244,596.363423408797,623.5096338659907,673.8704625965248,839.4299234245987,2250.1261887435858
0.00458354999999991,377.717610490066,596.3108943315956,623.5010976029595,673.7279283983245,839.943951698204,2250.178320873185
0.004584599999999904,377.5336960072997,596.2594051955142,623.4864291492202,673.590422234964,840.4497868263392,2250.2260361969447
0.004585649999999898,377.34514902154604,596.2130874787686,623.4637627591424,673.486979887065,840.9165790521321,2250.2696595499774
0.0045866999999998916,377.1527566088602,596.1735398975919,623.4314315291695,673.4208563646943,841.3609016277478,2250.30975648356
0.004587749999999885,376.95959386514096,596.1354106385442,623.4001912607224,673.3771904427165,841.7904784190548,2250.347022247234
0.004588799999999879,376.76983487705127,596.1119797127818,623.375868220518,673.3540188215287,842.1903744213558,2250.3814841326243
0.004589849999999873,376.5858263707781,596.1112218146396,623.3548263871324,673.3451815892055,842.5559424602512,2250.4125585504603
0.004590899999999867,376.4093352980607,596.116128176254,623.3735552506005,673.3618618181287,842.9245079906581,2250.4397344622307
0.00459194999999986,376.2401537787595,596.1350216716335,623.4053517410491,673.3678741314809,843.2762059040706,2250.462943160764
0.004592999999999854,376.0748268853921,596.1674583112015,623.4296483252698,673.3485461436054,843.6253098349382,2250.4827034332634
0.004594049999999848,375.9113696487603,596.2048865944598,623.4520860366268,673.2978470855459,843.9833950675686,2250.4996774767646
0.004595099999999842,375.74956927986335,596.2391285558847,623.4794557953433,673.2208543066774,844.3511941228716,2250.515071750243
0.0045961499999998354,375.59143844584037,596.2659084692574,623.4955327600096,673.1845078226178,844.7111305584236,2250.5297897597993
0.004597199999999829,375.4358284134088,596.3035962152935,623.5329135521973,673.1284418007144,845.0932815223559,2250.544927269247
0.004598249999999823,375.27986809474703,596.3474493686008,623.5922602288051,673.0729514351094,845.4708235624619,2250.561062093123
0.004599299999999817,375.1210041172667,596.3811394931869,623.667401041227,673.0250317271932,845.8324691114749,2250.578055682728
0.0046003499999998105,374.9592715211558,596.3885092758339,623.7478162863198,672.9905472992049,846.1512001900862,2250.596723963582
0.004601399999999804,374.7928441500941,596.3556033224388,623.8264034080975,672.9721067296728,846.3990118744522,2250.61769097078
0.004602449999999798,374.62247149011887,596.3107873715913,623.8930860553347,672.9589375393398,846.6434959189704,2250.6414053236554
0.004603499999999792,374.45405848670384,596.2649090125165,623.9426929557187,672.9286647144585,846.8930003113953,2250.668539174009
